Module Code,Title,Credits
EP4607,PRODUCT DESIGN AND DEVELOPMENT 1 ,6
EP4906,ENTREPRENEURSHIP AND INNOVATION ,6
EP4908,BUSINESS/MANAGEMENT CONSULTING WORKSHOP ,6
EP6021,IDEATION AND OPPORTUNITY RECOGNITION FOR ,9
EP6022,ENTERPRISE SCALING AND INTERNATIONALISATION ,9
EP6023,THESIS ,30
EP6031,BUSINESS MODELLING FOR INNOVATION ,6
EP6032,STRATEGIC ENTREPRENEURSHIP APPLIED CONSULTING ,6
EP6033,ENTREPRENEURIAL INCUBATION AND COMMERCIALISATION ,30
EP6041,ENTREPRENEURIAL MARKETING AND BUSINESS ,9
EP6042,RESEARCHING CONTEMPORARY ISSUES IN ,9
EP6051,RESOURCE PLANNING AND OPERATIONS MANAGEMENT FOR ,6
FI0613,BUSINESS TAXATION ,3
FI0614,INTERNATIONAL FINANCE ,6
FI3001,FINANCIAL FOR NON-FINANCIAL MANAGERS ,6
FI4000,INTERNATIONAL FINANCIAL MARKETS AND TRADING ,6
FI4002,FINANCIAL SERVICES SKILLS PORTFOLIO ,6
FI4003,FINANCE ,6
FI4005,ADVANCED CORPORATE FINANCE ,6
FI4007,INVESTMENTS: ANALYSIS AND MANAGEMENT ,6
FI4008,EMPIRICAL FINANCE ,6
FI4012,FOUNDATIONS OF AIRCRAFT LEASING ,6
FI4015,CORPORATE FINANCE ,6
FI4017,FINANCIAL MANAGEMENT IN EXERCISE AND HEALTH ,6
FI4018,ENERGY MARKETS ,6
FI4407,FINANCIAL INSTITUTIONS AND MARKETS ,6
FI4905,FINANCE ,6
FI5001,FINANCIAL MANAGEMENT ,6
FI5002,CORPORATE FINANCE ,6
FI5012,AVIATION LEGISLATION - LEASING AND FINANCE ,6
FI6001,FINANCING INTERNATIONAL SMALL BUSINESSES ,6
FI6002,FIXED INCOME MODELS ,6
FI6003,RESEARCH DISSERTATION (COMPUTATIONAL FINANCE) ,30
FI6011,WEALTH MANAGEMENT ,6
FI6012,PORTFOLIO RISK ANALYSIS ,6
FI6013,TAXATION ,3
FI6014,INTERNATIONAL FINANCE ,3
FI6015,DEEP LEARNING FOR FINANCE ,6
FI6016,PROJECT AND DISSERTATION - MACHINE LEARNING FOR ,24
FI6021,International Corporate Finance ,6
FI6023,BUSINESS ACCOUNTING AND FINANCE ,6
FI6024,MACHINE LEARNING FOR FINANCE ,6
FI6026,PROJECT AND DISSERTATION - MACHINE LEARNING FOR ,30
FI6031,Banking and Portfolio Management ,6
FI6032,CREDIT RISK AND DERIVATIVE PRODUCTS ,6
FI6033,BUSINESS ACCOUNTING AND FINANCE ,6
FI6035,DERIVATIVE MARKETS ,6
FI6041,RESEARCH METHODS IN FINANCE ,6
FI6042,RESEARCH IN FINANCE WORKSHOPS ,6
FI6043,AIRCRAFT LEASING ,3
FI6051,DERIVATIVE INSTRUMENTS ,6
FI6052,CORPORATE / AIRLINE FINANCE ,6
FI6053,AIRLINE FINANCE AND OPERATIONS ,6
FI6061,RESEARCH METHODS IN EMPIRICAL FINANCE ,6
FI6062,AIRCRAFT LEASING: ASSET AND LEASE MANAGEMENT ,6
FI6071,DYNAMIC ASSET PRICING THEORY ,6
FI6081,IMPLEMENTING MARKET MODELS ,6
FI6091,WEALTH AND PORTFOLIO MANAGEMENT ,6
FI6101,GLOBAL FINANCE AND CAPITAL MARKETS ,6
FI6103,DISSERTATION IN FINANCE 1 ,12
FI6111,RESEARCH METHODS IN FINANCE 1 ,3
FI6112,RESEARCH METHODS IN FINANCE 2 ,3
FI6113,DISSERTATION IN FINANCE 2 ,12
FI6121,FINANCIAL MODELLING AND DATA ANALYTICS ,6
FI6123,INTERNATIONAL BUSINESS WORKSHOP ,3
FI6131,TRADING FLOOR CERTIFICATION ,3
FI6141,DERIVATIVE MARKETS ,6
FI6151,MACHINE LEARNING IN FINANCE ,6
FI6161,CAPITAL MARKETS & CORPORATE FINANCE ,6
FI6171,RESEARCH METHODS IN BUSINESS 1 ,3
GT8101,GENERIC AND TRANSFERABLE SKILLS PORTFOLIO ,3
GT8102,GENERIC AND TRANSFERABLE SKILLS PORTFOLIO ,6
GT8103,GENERIC AND TRANSFERABLE SKILLS PORTFOLIO ,9
GT8104,GENERIC AND TRANSFERABLE SKILLS PORTFOLIO ,12
HP4007,FINAL YEAR PROJECT ECONOMICS AND SOCIOLOGY (A) ,6
HP4098,FINAL YEAR PROJECT ECONOMICS AND SOCIOLOGY (B) ,6
IM6101,INFORMATION MANAGEMENT ,6
IM6102,KNOWLEDGE MANAGEMENT ,6
IN3902,RISK MANAGEMENT (DE) ,6
IN4003,PRINCIPLES OF RISK MANAGEMENT ,6
IN4004,INSURANCE LAW AND CLAIMS ,6
IN4005,RISK ANALYSIS ,6
IN4007,GOVERNANCE AND RISK ,6
IN4008,REINSURANCE / ART ,6
IN4014,LIFE INSURANCE ,6
IN4015,RISK AND INSURANCE ,6
IN4407,RISK ANALYSIS ,6
IN4408,INSURANCE LAW AND CLAIMS ,6
IN4418,RISK CONTROL AND UNDERWRITING ,6
IN4427,INSURANCE ORGANISATIONS AND MARKETS ,6
IN4706,INSURANCE LAW AND CLAIMS ,6
IN4715,PRINCIPLES OF LIFE INSURANCE ,6
IN4716,UNDERWRITING MANAGEMENT ,6
IN4718,REINSURANCE/ART ,6
IN4725,RISK AND INSURANCE ,6
IN4735,INSURANCE ORGANISATIONS ,6
IN4738,INTERNATIONAL INSURANCE ,6
IN4748,LIFE INSURANCE AND FINANCIAL PLANNING ,6
IN4905,PRINCIPLES OF RISK MANAGEMENT ,6
IN5103,"RISK, ETHICS, GOVERNANCE AND ARTIFICIAL INTELLIGENCE ",6
IN6002,INTEGRATED RISK MANAGEMENT ,6
IN6011,RISK AND DERIVATIVE MARKETS ,6
IN6012,FINANCIAL REGULATION ,6
IN6021,INSURING LIFE AND HEALTH RISKS ,6
IN6022,INSURING RISK IN NATURE AND INDUSTRY ,6
IN6032,MODELLING RISK IN NATURE AND INDUSTRY ,6
IN6042,UNDERWRITING RISK ,6
IN6052,RISK ANALYTICS AND BIG DATA ,6
IN6062,DATA GOVERNANCE AND ETHICS ,6
MG2003,QUALITY MANAGEMENT IN PROFESSIONAL PROCUREMENT ,6
MG2011,MANAGEMENT AND LEADERSHIP ,6
MG2012,PROJECT CERT IN MGMT (NURSING) ,6
MG2021,HEALTH SERVICES MANAGEMENT ,6
MG2022,CASE STUDY ,6
MG2031,MANAGING COMMUNICATION ,6
MG2032,INTRODUCTION TO IMPORT ,6
MG2041,FORECAST AND SCHEDULING ,6
MG2042,PRINCIPLES OF SUPPLY CHAIN AND LOGISTICS ,6
MG2051,SUPPLY AND DEMAND PLANNING ,6
MG2052,ADVANCED PRACTICES IN CLASSIFICATION ,6
MG2061,PRINCIPLES 1: CUSTOMS CONTROLS ,6
MG2062,APPLICATIONS OF SECURITY CONTROLS ,6
MG2071,FUNDAMENTALS OF IMPORT AND EXPORT SECURITY ,6
MG2072,PRINCIPLES 2: CUSTOMS CONTROLS ,6
MG2081,FUNDAMENTALS OF CLASSIFICATION ,6
MG2082,EXPORT IN THE CONTEXT OF THE GLOBAL SUPPLY CHAIN ,6
MG2091,INTRODUCTION TO EXPORT ,6
MG2092,IMPORTING IN THE CONTEXT OF THE GLOBAL SUPPLY ,6
MG2101,MANAGEMENT AND LEADERSHIP ,6
MG2102,MOTIVATING THE TEAM ,6
MG2111,SELECTING THE TEAM ,6
MG2112,MANAGING PERFORMANCE ,6
MG2121,MANAGING PROJECTS AND RESOURCES ,6
MG2122,MANAGING EMPLOYEE RELATIONS ,6
MG2131,MANAGING COMMUNICATIONS ,6
MG2132,QUALITY MANAGEMENT ,6
MG2141,SKILLS PORTFOLIO ,6
MG2142,MANAGING CHANGE AND CONFLICT ,6
MG2151,STRATEGIC SUPPLY CHAIN AND LOGISTICS FRAMEWORKS ,6
MG2152,CASE STUDY ,6
MG2161,PROCUREMENT FORECASTING AND SCHEDULING ,6
MG2162,PROJECT ,6
MG2171,PROCUREMENT SUPPLY AND DEMAND PLANNING ,6
MG2181,PROCUREMENT CASE STUDY ,6
MG2213,CUSTOMER EXPERIENCE DEVELOPMENT IN SERVICE ,6
MG2223,EFFECTIVE BUSINESS PLANNING ,6
MG3001,MANAGING THE SMALL FIRM ,6
MG3002,INNOVATION IN SMALL BUSINESS ,6
MG3003,COURSE PROJECT 3 ,6
MG3004,INFORMATION AND E-BUSINESS ,6
MG3011,COMMUNICATION AND INTERPERSONAL SKILLS ,6
MG3012,INFORMATION MANAGEMENT AND E-BUSINESS ,6
MG3013,COURSE PROJECT A ,6
MG3014,COSTING AND FINANCIAL MANAGEMENT ,6
MG3021,COURSE PROJECT 1 ,6
MG3022,MANAGING PROJECTS AND RESOURCES ,6
